case_date,fuerte,result,day_offset,t1_pos_fuerte,t1_pos_result,t1_dist,t1_direction,lottery,draw_position,labels
2022-01-21,44,92,6,3,6,3,despues,Quiniela Real,1,MISMO_GRUPO_T1|MISMO_CODIGO_T1|POSICION_T1_CERCANA|CANDIDATO_ORIGINAL_ALTERNATIVO
2022-01-21,44,92,7,3,6,3,despues,New York 10:30,1,MISMO_GRUPO_T1|MISMO_CODIGO_T1|POSICION_T1_CERCANA|CANDIDATO_ORIGINAL_ALTERNATIVO
2022-01-21,44,12,7,3,1,-2,antes,Quiniela Real,2,MISMO_GRUPO_T1|MISMO_CODIGO_T1|POSICION_T1_CERCANA|CANDIDATO_ORIGINAL_ALTERNATIVO
2022-01-21,54,6,4,4,1,-3,antes,Quiniela Leidsa,3,MISMO_GRUPO_T1|MISMO_CODIGO_T1|POSICION_T1_CERCANA|CANDIDATO_ORIGINAL_ALTERNATIVO
2022-01-21,54,54,4,4,4,0,misma,Quiniela Loteka,1,FUERTE_EXACTO|MISMO_GRUPO_T1|MISMO_CODIGO_T1|MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2022-01-21,54,11,5,4,2,-2,antes,Gana Mas,2,MISMO_GRUPO_T1|MISMO_CODIGO_T1|POSICION_T1_CERCANA|CANDIDATO_ORIGINAL_ALTERNATIVO
2022-01-21,54,86,5,4,5,1,despues,Quiniela Leidsa,1,MISMO_GRUPO_T1|MISMO_CODIGO_T1|POSICION_T1_ADYACENTE|CANDIDATO_ORIGINAL_ALTERNATIVO
2022-01-21,54,86,5,4,5,1,despues,Quiniela Loteka,2,MISMO_GRUPO_T1|MISMO_CODIGO_T1|POSICION_T1_ADYACENTE|CANDIDATO_ORIGINAL_ALTERNATIVO
2022-01-21,54,86,6,4,5,1,despues,Loteria Nacional,2,MISMO_GRUPO_T1|MISMO_CODIGO_T1|POSICION_T1_ADYACENTE|CANDIDATO_ORIGINAL_ALTERNATIVO
2022-01-21,54,43,7,4,3,-1,antes,Loteria Nacional,3,MISMO_GRUPO_T1|MISMO_CODIGO_T1|POSICION_T1_ADYACENTE|CANDIDATO_ORIGINAL_ALTERNATIVO
2022-01-22,23,71,1,3,7,4,despues,Gana Mas,1,MISMO_GRUPO_T1|MISMO_CODIGO_T1|POSICION_T1_LEJANA|CANDIDATO_ORIGINAL_ALTERNATIVO
2022-01-22,23,18,1,3,2,-1,antes,New York 10:30,2,MISMO_GRUPO_T1|MISMO_CODIGO_T1|POSICION_T1_ADYACENTE|CANDIDATO_ORIGINAL_ALTERNATIVO
2022-01-22,23,71,2,3,7,4,despues,Gana Mas,1,MISMO_GRUPO_T1|MISMO_CODIGO_T1|POSICION_T1_LEJANA|CANDIDATO_ORIGINAL_ALTERNATIVO
2022-01-22,23,50,2,3,4,1,despues,New York 2:30,3,MISMO_GRUPO_T1|MISMO_CODIGO_T1|POSICION_T1_ADYACENTE|CANDIDATO_ORIGINAL_ALTERNATIVO
2022-01-22,23,66,2,3,6,3,despues,Quiniela Loteka,1,MISMO_GRUPO_T1|MISMO_CODIGO_T1|POSICION_T1_CERCANA|CANDIDATO_ORIGINAL_ALTERNATIVO
2022-01-22,23,23,2,3,3,0,misma,Quiniela Real,1,FUERTE_EXACTO|MISMO_GRUPO_T1|MISMO_CODIGO_T1|MISMO_GRUPO_T2|MISMO_CODIGO_T2|VECINO_DEL_CONFIRMADOR
2022-01-22,23,66,2,3,6,3,despues,Quiniela Real,3,MISMO_GRUPO_T1|MISMO_CODIGO_T1|POSICION_T1_CERCANA|CANDIDATO_ORIGINAL_ALTERNATIVO
2022-01-22,23,66,3,3,6,3,despues,New York 10:30,1,MISMO_GRUPO_T1|MISMO_CODIGO_T1|POSICION_T1_CERCANA|CANDIDATO_ORIGINAL_ALTERNATIVO
