case_date,fuerte,origin,confirmer,t1_group,t1_pos_fuerte,first_t1_companion,first_t1_dist,first_t1_pos,first_t1_day,first_t1_lottery,first_t1_draw_position,first_related,first_related_primary,first_related_day,other_fuertes
2021-04-23,44,43,53,12|28|44|60|81|92,3,60,1,4,4,Quiniela Leidsa,3,36,RELACION_DE_TERCER_NIVEL,1,12|63
2021-04-24,41,39,71,9|14|30|41|46|62|78|94,4,14,-2,2,1,New York 2:30,3,70,RELACION_DE_SEGUNDO_NIVEL,1,9
2021-04-30,82,33,37,2|39|82|87,3,39,-1,2,4,Loteria Nacional,1,62,CANDIDATO_ORIGINAL_ALTERNATIVO,1,9|42
2021-05-03,35,49,53,35|40|83,1,40,1,2,6,Quiniela Leidsa,1,78,RELACION_DE_SEGUNDO_NIVEL,1,56|69
2021-05-03,56,40,12,8|19|51|56|67|72,4,67,1,5,2,Quiniela Leidsa,1,78,RELACION_DE_SEGUNDO_NIVEL,1,35|69
2021-05-10,76,34,27,1|17|33|49|76,5,1,-4,1,1,Quiniela Leidsa,3,70,RELACION_DE_TERCER_NIVEL,1,31
2021-05-15,53,28,44,21|26|53,3,26,-1,2,1,Loteria Nacional,1,35,MISMO_GRUPO_T2,1,35
2021-06-02,62,39,75,9|14|30|41|46|62|78|94,6,30,-3,3,1,Quiniela Leidsa,2,31,RELACION_DE_TERCER_NIVEL,1,9
2021-06-04,22,44,7,22|59|70|75|91,1,91,4,5,2,New York 10:30,2,87,RELACION_DE_TERCER_NIVEL,1,70
2021-06-04,70,44,7,22|59|70|75|91,3,91,2,5,2,New York 10:30,2,87,RELACION_DE_TERCER_NIVEL,1,22
2021-06-07,9,39,90,9|14|30|41|46|62|78|94,1,41,3,4,2,Loteria Nacional,3,57,RELACION_DE_TERCER_NIVEL,1,42|65
2021-06-08,30,39,3,9|14|30|41|46|62|78|94,3,41,1,4,1,Loteria Nacional,3,18,RELACION_DE_TERCER_NIVEL,1,
2021-06-12,9,39,22,9|14|30|41|46|62|78|94,1,14,1,2,2,New York 2:30,1,67,RELACION_DE_TERCER_NIVEL,1,
2021-06-19,69,45,57,69|80,1,80,1,2,1,Loteria Nacional,3,57,MISMO_GRUPO_T2,1,
2021-06-21,100,38,1,20|31|47|52|63|100,6,52,-2,4,1,Quiniela Real,2,76,COMPANERO_DEL_CONFIRMADOR,1,52
2021-06-29,42,37,90,5|10|42,3,10,-1,2,1,Gana Mas,2,21,CANDIDATO_ORIGINAL_ALTERNATIVO,1,53
2021-06-29,53,28,90,21|26|53,3,21,-2,1,1,Gana Mas,1,21,MISMO_GRUPO_T1,1,42
2021-07-01,35,49,44,35|40|83,1,40,1,2,1,New York 10:30,1,7,MISMO_GRUPO_T2,1,
2021-07-02,53,28,7,21|26|53,3,26,-1,2,1,Quiniela Real,3,19,CANDIDATO_ORIGINAL_ALTERNATIVO,1,
2021-07-07,68,47,92,4|36|68|79|84,3,84,2,5,2,New York 2:30,1,94,RELACION_DE_SEGUNDO_NIVEL,1,7|29|71
2021-07-08,9,39,63,9|14|30|41|46|62|78|94,1,30,2,3,1,New York 10:30,1,75,RELACION_DE_SEGUNDO_NIVEL,1,
2021-07-12,63,38,29,20|31|47|52|63|100,5,20,-4,1,1,New York 10:30,3,33,RELACION_DE_TERCER_NIVEL,1,90
2021-07-16,23,42,73,7|18|23|50|55|66|71,3,66,3,6,1,New York 10:30,1,5,RELACION_DE_SEGUNDO_NIVEL,1,
