case_date,fuerte,origin,confirmer,n_confirmers,n_fuertes_same_day,all_fuertes,t1_pos_fuerte,fuerte_appeared,first_day_offset
2021-03-09,72,40,34,1,2,72|76,6,True,5
2021-03-09,76,34,92,1,2,72|76,5,False,
2021-03-12,23,42,77,1,4,23|37|71|90,3,False,
2021-03-12,37,46,82,1,4,23|37|71|90,1,True,3
2021-03-12,71,42,89,1,4,23|37|71|90,7,True,1
2021-03-12,90,46,42,1,4,23|37|71|90,4,False,
2021-03-13,32,36,45,1,2,32|48,1,False,
2021-03-13,48,36,97,1,2,32|48,2,True,1
2021-03-14,22,44,7,1,4,22|70|90|91,1,True,1
2021-03-14,70,44,7,2,4,22|70|90|91,3,False,
2021-03-14,90,46,7,3,4,22|70|90|91,4,True,7
2021-03-14,91,44,69,1,4,22|70|90|91,5,True,1
2021-03-15,9,39,22,1,2,9|32,1,True,5
2021-03-15,32,36,45,1,2,9|32,1,False,
2021-03-18,7,42,63,1,3,7|29|71,1,False,
2021-03-18,29,41,42,2,3,7|29|71,2,True,7
2021-03-18,71,42,41,1,3,7|29|71,7,True,1
2021-03-21,44,43,22,1,2,44|92,3,True,1
2021-03-21,92,43,27,1,2,44|92,6,True,2
2021-03-22,29,41,35,1,5,29|53|73|89|93,2,True,3
2021-03-22,53,28,35,1,5,29|53|73|89|93,3,True,2
2021-03-22,73,48,28,1,5,29|53|73|89|93,1,True,1
2021-03-22,89,48,41,1,5,29|53|73|89|93,2,True,6
2021-03-22,93,41,48,1,5,29|53|73|89|93,3,True,2
2021-03-23,53,28,9,1,2,53|73,3,True,1
2021-03-23,73,48,28,1,2,53|73,1,True,3
2021-04-04,28,43,23,1,2,28|77,2,True,6
2021-04-04,77,32,23,1,2,28|77,1,False,
2021-04-13,3,31,83,1,2,3|56,1,True,6
2021-04-13,56,40,71,1,2,3|56,4,True,4
2021-04-17,7,42,22,1,5,7|23|26|53|90,1,True,5
2021-04-17,23,42,28,1,5,7|23|26|53|90,3,True,3
