relation,generator,candidate,n_confirmers,activations,w3_hits,hit_rate_w3,lift_vs_base_freq_random_one,security_level
43->44<-70,43,44,1,3,0,0.0,0.0,D_SIN_VENTAJA
43->28<-87,43,28,1,4,0,0.0,0.0,D_SIN_VENTAJA
46->90<-70,46,90,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
37->42<-70,37,42,1,2,0,0.0,0.0,D_SIN_VENTAJA
40->19<-86,40,19,1,12,4,0.333333,1.7924,C_PROMETEDOR_NO_CONCLUYENTE
44->22<-70,44,22,1,5,0,0.0,0.0,D_SIN_VENTAJA
"28->26<-59,72",28,26,2,1,0,0.0,0.0,D_SIN_VENTAJA
33->87<-28,33,87,1,9,2,0.222222,1.1949,C_PROMETEDOR_NO_CONCLUYENTE
39->62<-75,39,62,1,4,0,0.0,0.0,D_SIN_VENTAJA
39->30<-3,39,30,1,7,1,0.142857,0.7682,D_SIN_VENTAJA
28->53<-44,28,53,1,5,0,0.0,0.0,D_SIN_VENTAJA
"44->70<-9,22",44,70,2,1,0,0.0,0.0,D_SIN_VENTAJA
40->56<-41,40,56,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
"39->9<-35,63",39,9,2,1,0,0.0,0.0,D_SIN_VENTAJA
"42->71<-41,56",42,71,2,1,0,0.0,0.0,D_SIN_VENTAJA
41->29<-42,41,29,1,4,2,0.5,2.6886,D_SIN_VENTAJA
38->63<-42,38,63,1,3,0,0.0,0.0,D_SIN_VENTAJA
28->26<-59,28,26,1,6,0,0.0,0.0,D_SIN_VENTAJA
"37->42<-22,35",37,42,2,1,0,0.0,0.0,D_SIN_VENTAJA
"38->63<-22,35",38,63,2,1,0,0.0,0.0,D_SIN_VENTAJA
46->37<-65,46,37,1,3,0,0.0,0.0,D_SIN_VENTAJA
46->90<-63,46,90,1,1,0,0.0,0.0,D_SIN_VENTAJA
54->96<-15,54,96,1,3,0,0.0,0.0,D_SIN_VENTAJA
27->16<-25,27,16,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
46->90<-22,46,90,1,2,0,0.0,0.0,D_SIN_VENTAJA
31->88<-79,31,88,1,6,0,0.0,0.0,D_SIN_VENTAJA
47->84<-58,47,84,1,3,0,0.0,0.0,D_SIN_VENTAJA
"28->53<-7,70",28,53,2,1,0,0.0,0.0,D_SIN_VENTAJA
52->65<-82,52,65,1,8,0,0.0,0.0,D_SIN_VENTAJA
34->1<-10,34,1,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
35->11<-57,35,11,1,6,1,0.166667,0.8962,D_SIN_VENTAJA
"39->9<-35,42",39,9,2,1,1,1.0,5.3772,D_SIN_VENTAJA
42->7<-35,42,7,1,2,1,0.5,2.6886,D_SIN_VENTAJA
28->26<-72,28,26,1,5,1,0.2,1.0754,C_PROMETEDOR_NO_CONCLUYENTE
28->53<-90,28,53,1,3,0,0.0,0.0,D_SIN_VENTAJA
"34->76<-68,92",34,76,2,1,0,0.0,0.0,D_SIN_VENTAJA
47->68<-92,47,68,1,6,2,0.333333,1.7924,C_PROMETEDOR_NO_CONCLUYENTE
"41->29<-9,22",41,29,2,1,0,0.0,0.0,D_SIN_VENTAJA
47->4<-40,47,4,1,1,0,0.0,0.0,D_SIN_VENTAJA
49->35<-63,49,35,1,2,0,0.0,0.0,D_SIN_VENTAJA
"52->65<-37,82",52,65,2,1,1,1.0,5.3772,D_SIN_VENTAJA
44->59<-72,44,59,1,7,1,0.142857,0.7682,D_SIN_VENTAJA
46->90<-44,46,90,1,1,0,0.0,0.0,D_SIN_VENTAJA
"44->59<-26,34",44,59,2,1,0,0.0,0.0,D_SIN_VENTAJA
44->22<-7,44,22,1,3,0,0.0,0.0,D_SIN_VENTAJA
44->70<-7,44,70,1,3,0,0.0,0.0,D_SIN_VENTAJA
"49->35<-29,44",49,35,2,1,0,0.0,0.0,D_SIN_VENTAJA
43->12<-89,43,12,1,2,0,0.0,0.0,D_SIN_VENTAJA
"38->63<-35,90",38,63,2,2,0,0.0,0.0,D_SIN_VENTAJA
46->90<-53,46,90,1,1,1,1.0,5.3772,D_SIN_VENTAJA
43->44<-90,43,44,1,4,2,0.5,2.6886,D_SIN_VENTAJA
44->59<-26,44,59,1,7,1,0.142857,0.7682,D_SIN_VENTAJA
"41->29<-7,63",41,29,2,1,1,1.0,5.3772,D_SIN_VENTAJA
"40->56<-41,71",40,56,2,2,0,0.0,0.0,D_SIN_VENTAJA
"37->42<-35,90",37,42,2,1,0,0.0,0.0,D_SIN_VENTAJA
41->13<-17,41,13,1,5,2,0.4,2.1509,C_PROMETEDOR_NO_CONCLUYENTE
"48->89<-12,71",48,89,2,1,1,1.0,5.3772,D_SIN_VENTAJA
"39->9<-29,90",39,9,2,1,0,0.0,0.0,D_SIN_VENTAJA
